lon,lat,varname,area,year,total,max,avg,min,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,region
-122.5,48.5, T2M ,2038,-999,62.23,17.04,15.56,13.93,,,,,,14.18,16.4,16.86,14.78,,,,WESTERN_USA
-122.0,36.5, T2M ,2201,-999,54.5,14.7,13.63,12.35,,,,,,12.42,13.32,14.13,14.64,,,,WESTERN_USA
-122.0,40.0, T2M ,2359,-999,104.9,28.76,26.22,23.42,,,,,,25.39,28.61,27.24,23.66,,,,WESTERN_USA
-122.0,40.5, T2M ,2341,-999,97.52,27.11,24.38,21.36,,,,,,23.01,26.9,25.71,21.9,,,,WESTERN_USA
-122.0,41.0, T2M ,2324,-999,88.18,24.94,22.04,18.86,,,,,,20.47,24.68,23.52,19.52,,,,WESTERN_USA
-122.0,42.5, T2M ,2269,-999,65.07,19.31,16.27,13.01,,,,,,13.96,18.72,18.22,14.18,,,,WESTERN_USA
-122.0,43.0, T2M ,2251,-999,59.34,17.88,14.83,11.53,,,,,,12.35,17.18,16.88,12.92,,,,WESTERN_USA
-122.0,43.5, T2M ,2233,-999,58.14,17.42,14.54,11.34,,,,,,12.02,16.63,16.63,12.87,,,,WESTERN_USA
-122.0,44.0, T2M ,2214,-999,56.23,16.91,14.06,10.89,,,,,,11.61,16.09,16.11,12.42,,,,WESTERN_USA
-122.0,44.5, T2M ,2195,-999,56.83,16.96,14.21,11.17,,,,,,11.87,16.12,16.25,12.58,,,,WESTERN_USA
-122.0,45.0, T2M ,2176,-999,56.61,16.69,14.15,11.32,,,,,,11.97,15.86,16.1,12.68,,,,WESTERN_USA
-122.0,45.5, T2M ,2157,-999,59.91,17.27,14.98,12.42,,,,,,13.01,16.42,16.77,13.7,,,,WESTERN_USA
-122.0,46.0, T2M ,2137,-999,57.98,16.93,14.5,11.82,,,,,,12.53,16.13,16.36,12.97,,,,WESTERN_USA
-122.0,46.5, T2M ,2118,-999,57.35,16.63,14.34,11.82,,,,,,12.5,15.81,16.09,12.94,,,,WESTERN_USA
-122.0,47.0, T2M ,2098,-999,55.86,16.03,13.96,11.71,,,,,,12.4,15.35,15.51,12.59,,,,WESTERN_USA
-122.0,47.5, T2M ,2078,-999,64.79,18.15,16.2,14.08,,,,,,14.86,17.58,17.69,14.65,,,,WESTERN_USA
-122.0,48.0, T2M ,2058,-999,63.15,17.65,15.79,13.75,,,,,,14.57,17.1,17.21,14.27,,,,WESTERN_USA
-122.0,48.5, T2M ,2038,-999,58.97,16.88,14.74,12.38,,,,,,13.28,16.18,16.37,13.14,,,,WESTERN_USA
-121.5,36.0, T2M ,2492,-999,72.9,19.52,18.22,16.44,,,,,,16.53,18.78,19.14,18.44,,,,WESTERN_USA
-121.5,39.0, T2M ,2393,-999,98.19,26.24,24.55,22.64,,,,,,24.29,26.03,25.03,22.84,,,,WESTERN_USA
-121.5,39.5, T2M ,2376,-999,98.37,26.75,24.59,22.18,,,,,,23.91,26.56,25.44,22.46,,,,WESTERN_USA
-121.5,40.0, T2M ,2359,-999,83.3,23.47,20.82,17.91,,,,,,19.19,23.14,22.28,18.68,,,,WESTERN_USA
-121.5,40.5, T2M ,2341,-999,71.72,20.81,17.93,14.85,,,,,,16.0,20.45,19.58,15.69,,,,WESTERN_USA
-121.5,41.0, T2M ,2324,-999,78.54,22.67,19.63,16.36,,,,,,17.94,22.41,21.25,16.94,,,,WESTERN_USA
-121.5,42.5, T2M ,2269,-999,70.65,20.92,17.66,14.28,,,,,,15.71,20.48,19.55,14.91,,,,WESTERN_USA
-121.5,43.0, T2M ,2251,-999,63.5,19.08,15.87,12.52,,,,,,13.74,18.52,17.83,13.4,,,,WESTERN_USA
-121.5,43.5, T2M ,2233,-999,61.79,18.54,15.45,12.18,,,,,,13.32,17.91,17.4,13.15,,,,WESTERN_USA
-121.5,46.0, T2M ,2137,-999,63.3,18.61,15.83,12.81,,,,,,13.78,17.88,17.84,13.79,,,,WESTERN_USA
-121.5,46.5, T2M ,2118,-999,47.45,14.57,11.86,8.86,,,,,,9.59,13.66,13.89,10.29,,,,WESTERN_USA
-121.5,47.0, T2M ,2098,-999,47.57,14.24,11.89,9.29,,,,,,10.01,13.46,13.64,10.46,,,,WESTERN_USA
-121.5,47.5, T2M ,2078,-999,51.06,14.94,12.76,10.36,,,,,,11.08,14.21,14.4,11.36,,,,WESTERN_USA
-121.5,48.5, T2M ,2038,-999,51.99,15.26,13.0,10.53,,,,,,11.48,14.58,14.63,11.31,,,,WESTERN_USA
-121.0,35.5, T2M ,2508,-999,72.75,19.34,18.19,16.77,,,,,,16.91,18.23,18.82,18.78,,,,WESTERN_USA
-121.0,36.0, T2M ,2492,-999,88.77,23.89,22.19,20.23,,,,,,20.79,23.39,23.22,21.37,,,,WESTERN_USA
-121.0,38.0, T2M ,2427,-999,90.96,24.19,22.74,21.2,,,,,,22.16,23.92,23.29,21.59,,,,WESTERN_USA
-121.0,38.5, T2M ,2410,-999,92.61,24.83,23.15,21.36,,,,,,22.22,24.52,23.93,21.93,,,,WESTERN_USA
-121.0,39.0, T2M ,2393,-999,93.24,25.5,23.31,20.89,,,,,,21.98,25.17,24.47,21.62,,,,WESTERN_USA
-121.0,39.5, T2M ,2376,-999,80.39,22.61,20.1,17.35,,,,,,18.48,22.24,21.49,18.18,,,,WESTERN_USA
