-118.5,48, MXCOHRTS ,2058,-111,1,1, WEST
-118.5,48.5, MXCOHRTS ,2038,-111,1,1, WEST
-118,45, MXCOHRTS ,2176,-111,1,1, WEST
-118,45.5, MXCOHRTS ,2157,-111,1,1, WEST
-118,46, MXCOHRTS ,2137,-111,1,1, WEST
-118,48, MXCOHRTS ,2058,-111,1,1, WEST
-118,48.5, MXCOHRTS ,2038,-111,1,1, WEST
-117.5,45, MXCOHRTS ,2176,-111,1,1, WEST
-117.5,45.5, MXCOHRTS ,2157,-111,1,1, WEST
-117.5,47.5, MXCOHRTS ,2078,-111,1,1, WEST
-117.5,48, MXCOHRTS ,2058,-111,1,1, WEST
-117.5,48.5, MXCOHRTS ,2038,-111,1,1, WEST
-117,34, MXCOHRTS ,2555,-111,1,1, WEST
-117,45, MXCOHRTS ,2176,-111,1,1, WEST
-117,47, MXCOHRTS ,2098,-111,1,1, WEST
-117,47.5, MXCOHRTS ,2078,-111,1,1, WEST
-117,48, MXCOHRTS ,2058,-111,1,1, WEST
-117,48.5, MXCOHRTS ,2038,-111,1,1, WEST
-116.5,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-116.5,45, MXCOHRTS ,2176,-111,1,1, WEST
-116.5,45.5, MXCOHRTS ,2157,-111,1,1, WEST
-116.5,46.5, MXCOHRTS ,2118,-111,1,1, WEST
-116.5,47, MXCOHRTS ,2098,-111,1,1, WEST
-116.5,47.5, MXCOHRTS ,2078,-111,1,1, WEST
-116.5,48, MXCOHRTS ,2058,-111,1,1, WEST
-116.5,48.5, MXCOHRTS ,2038,-111,1,1, WEST
-116,43.5, MXCOHRTS ,2233,-111,1,1, WEST
-116,44, MXCOHRTS ,2214,-111,1,1, WEST
-116,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-116,45, MXCOHRTS ,2176,-111,1,1, WEST
-116,45.5, MXCOHRTS ,2157,-111,1,1, WEST
-116,46, MXCOHRTS ,2137,-111,1,1, WEST
-116,46.5, MXCOHRTS ,2118,-111,1,1, WEST
-116,47, MXCOHRTS ,2098,-111,1,1, WEST
-116,47.5, MXCOHRTS ,2078,-111,1,1, WEST
-116,48, MXCOHRTS ,2058,-111,1,1, WEST
-116,48.5, MXCOHRTS ,2038,-111,1,1, WEST
-115.5,43.5, MXCOHRTS ,2233,-111,1,1, WEST
-115.5,44, MXCOHRTS ,2214,-111,1,1, WEST
-115.5,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-115.5,45, MXCOHRTS ,2176,-111,1,1, WEST
-115.5,45.5, MXCOHRTS ,2157,-111,1,1, WEST
-115.5,46, MXCOHRTS ,2137,-111,1,1, WEST
-115.5,46.5, MXCOHRTS ,2118,-111,1,1, WEST
-115.5,47, MXCOHRTS ,2098,-111,1,1, WEST
-115.5,47.5, MXCOHRTS ,2078,-111,1,1, WEST
-115.5,48, MXCOHRTS ,2058,-111,1,1, WEST
-115.5,48.5, MXCOHRTS ,2038,-111,1,1, WEST
-115,43.5, MXCOHRTS ,2233,-111,1,1, WEST
-115,44, MXCOHRTS ,2214,-111,1,1, WEST
-115,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-115,45, MXCOHRTS ,2176,-111,1,1, WEST
-115,45.5, MXCOHRTS ,2157,-111,1,1, WEST
-115,46, MXCOHRTS ,2137,-111,1,1, WEST
-115,46.5, MXCOHRTS ,2118,-111,1,1, WEST
-115,47, MXCOHRTS ,2098,-111,1,1, WEST
-115,47.5, MXCOHRTS ,2078,-111,1,1, WEST
-115,48, MXCOHRTS ,2058,-111,1,1, WEST
-115,48.5, MXCOHRTS ,2038,-111,1,1, WEST
-114.5,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-114.5,45, MXCOHRTS ,2176,-111,1,1, WEST
-114.5,45.5, MXCOHRTS ,2157,-111,1,1, WEST
-114.5,46, MXCOHRTS ,2137,-111,1,1, WEST
-114.5,46.5, MXCOHRTS ,2118,-111,1,1, WEST
-114.5,48.5, MXCOHRTS ,2038,-111,1,1, WEST
