-112.5000,46.5000, MXCOHRTS ,2118,-111,3,3, WEST
-112.0000,33.5000, MXCOHRTS ,2570,-111,3,3, WEST
-112.0000,34.0000, MXCOHRTS ,2555,-111,3,3, WEST
-112.0000,34.5000, MXCOHRTS ,2539,-111,3,3, WEST
-112.0000,35.0000, MXCOHRTS ,2524,-111,3,3, WEST
-112.0000,40.0000, MXCOHRTS ,2359,-111,3,3, WEST
-112.0000,40.5000, MXCOHRTS ,2341,-111,3,3, WEST
-112.0000,41.0000, MXCOHRTS ,2324,-111,3,3, WEST
-112.0000,41.5000, MXCOHRTS ,2306,-111,3,3, WEST
-112.0000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-111.5000,33.5000, MXCOHRTS ,2570,-111,3,3, WEST
-111.5000,34.0000, MXCOHRTS ,2555,-111,3,3, WEST
-111.5000,34.5000, MXCOHRTS ,2539,-111,3,3, WEST
-111.5000,39.0000, MXCOHRTS ,2393,-111,3,3, WEST
-111.5000,39.5000, MXCOHRTS ,2376,-111,3,3, WEST
-111.5000,40.0000, MXCOHRTS ,2359,-111,3,3, WEST
-111.5000,40.5000, MXCOHRTS ,2341,-111,3,3, WEST
-111.5000,42.5000, MXCOHRTS ,2269,-111,3,3, WEST
-111.5000,43.0000, MXCOHRTS ,2251,-111,3,3, WEST
-111.5000,44.0000, MXCOHRTS ,2214,-111,3,3, WEST
-111.5000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-111.5000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-111.5000,46.5000, MXCOHRTS ,2118,-111,3,3, WEST
-111.0000,31.5000, MXCOHRTS ,2628,-111,3,3, WEST
-111.0000,33.0000, MXCOHRTS ,2585,-111,3,3, WEST
-111.0000,33.5000, MXCOHRTS ,2570,-111,3,3, WEST
-111.0000,34.0000, MXCOHRTS ,2555,-111,3,3, WEST
-111.0000,40.5000, MXCOHRTS ,2341,-111,3,3, WEST
-111.0000,42.0000, MXCOHRTS ,2288,-111,3,3, WEST
-111.0000,42.5000, MXCOHRTS ,2269,-111,3,3, WEST
