lon,lat,area,region
-106.0,42.0,2288,WESTERN_USA
-106.0,45.0,2176,WESTERN_USA
-105.5,35.5,2508,WESTERN_USA
-105.5,36.0,2492,WESTERN_USA
-105.5,36.5,2476,WESTERN_USA
-105.5,37.0,2460,WESTERN_USA
-105.5,37.5,2444,WESTERN_USA
-105.5,38.0,2427,WESTERN_USA
-105.5,38.5,2410,WESTERN_USA
-105.5,39.0,2393,WESTERN_USA
-105.5,41.0,2324,WESTERN_USA
-105.0,32.0,2614,WESTERN_USA
-105.0,36.5,2476,WESTERN_USA
-105.0,44.0,2214,WESTERN_USA
-105.0,44.5,2195,WESTERN_USA
